Date,City,pm2.5,pm10,no2,so2,co,o3
2021-01-12,Satna,100,215,46,11,1.67,55
2021-01-12,Sagar,99,140,65,19,1.34,57
2021-01-12,Dewas,157,269,31,14,1.13,29
2021-01-13,Bhopal,87,201,29,16,0.78,21
2021-01-13,Indore,210,311,52,10,1.33,20
2021-01-13,Gwalior,152,258,58,12,1.16,30
2021-01-13,Jabalpur,153,264,20,22,1.1,27
2021-01-13,Ujjain,93,210,26,13,1.08,39
2021-01-13,Satna,170,216,40,21,1.97,23
2021-01-13,Sagar,180,243,62,28,1.64,32
2021-01-13,Dewas,106,156,35,24,0.88,27
2021-01-14,Bhopal,135,221,62,25,0.99,45
2021-01-14,Indore,217,308,20,19,0.71,39
2021-01-14,Gwalior,65,119,66,18,1.58,32
2021-01-14,Jabalpur,184,236,69,19,0.91,45
2021-01-14,Ujjain,66,185,23,24,0.86,41
2021-01-14,Satna,179,290,64,28,1.51,31
2021-01-14,Sagar,177,276,30,17,1.29,34
2021-01-14,Dewas,206,270,34,16,1.96,47
2021-01-15,Bhopal,217,269,62,12,0.8,29
2021-01-15,Indore,72,134,22,26,1.25,40
2021-01-15,Gwalior,95,199,42,27,1.59,45
2021-01-15,Jabalpur,133,203,42,23,1.29,22
2021-01-15,Ujjain,87,203,32,12,1.43,41
2021-01-15,Satna,65,145,33,20,1.94,43
2021-01-15,Sagar,85,181,60,20,1.42,39
2021-01-15,Dewas,111,164,24,18,0.88,41
2021-01-16,Bhopal,170,253,24,21,0.75,31
2021-01-16,Indore,212,299,36,26,1.85,45
2021-01-16,Gwalior,158,234,45,27,1.68,47
2021-01-16,Jabalpur,75,184,65,10,1.37,35
2021-01-16,Ujjain,212,285,46,26,1.33,50
2021-01-16,Satna,102,181,57,15,1.06,59
2021-01-16,Sagar,126,183,68,29,1.71,25
2021-01-16,Dewas,100,201,55,29,1.6,59
2021-01-17,Bhopal,193,255,61,18,1.46,59
2021-01-17,Indore,88,199,40,24,0.67,52
2021-01-17,Gwalior,142,190,34,24,1.85,51
2021-01-17,Jabalpur,196,254,47,24,1.81,29
2021-01-17,Ujjain,194,294,48,18,1.93,56
2021-01-17,Satna,171,231,44,29,1.2,56
2021-01-17,Sagar,137,253,32,25,1.69,52
2021-01-17,Dewas,197,270,62,28,1.73,52
2021-01-18,Bhopal,202,314,50,28,0.88,46
2021-01-18,Indore,207,310,21,13,1.06,42
2021-01-18,Gwalior,188,255,41,17,0.96,23
2021-01-18,Jabalpur,197,256,28,23,1.9,53
2021-01-18,Ujjain,96,182,59,28,1.39,21
2021-01-18,Satna,177,223,50,29,0.5,24
2021-01-18,Sagar,216,284,46,18,1.32,53
2021-01-18,Dewas,164,275,61,27,1.39,40
2021-01-19,Bhopal,206,294,50,23,1.03,56
2021-01-19,Indore,165,262,36,25,1.75,20
2021-01-19,Gwalior,66,109,32,26,0.75,42
2021-01-19,Jabalpur,145,186,44,15,1.16,30
2021-01-19,Ujjain,153,251,60,26,1.07,27
2021-01-19,Satna,188,285,36,19,1.42,49
2021-01-19,Sagar,149,204,55,16,1.27,57
2021-01-19,Dewas,167,235,56,18,1.34,57
2021-01-20,Bhopal,108,227,69,26,1.5,45
2021-01-20,Indore,140,216,47,22,1.88,26
2021-01-20,Gwalior,187,277,46,11,1.71,27
2021-01-20,Jabalpur,115,218,49,13,0.91,35
2021-01-20,Ujjain,137,228,24,25,0.78,56
2021-01-20,Satna,146,225,21,12,1.99,50
2021-01-20,Sagar,193,294,38,21,0.84,20
2021-01-20,Dewas,84,125,26,18,1.51,52
2021-01-21,Bhopal,201,266,51,21,1.13,40
2021-01-21,Indore,78,124,66,19,1.1,55
2021-01-21,Gwalior,205,279,34,29,1.4,41
2021-01-21,Jabalpur,168,260,27,17,0.57,58
2021-01-21,Ujjain,190,282,67,25,1.05,20
2021-01-21,Satna,64,120,32,26,0.6,38
2021-01-21,Sagar,99,217,25,14,0.52,20
2021-01-21,Dewas,165,245,63,20,1.18,40
2021-01-22,Bhopal,214,308,27,29,0.84,43
2021-01-22,Indore,80,172,32,11,1.18,50
2021-01-22,Gwalior,138,210,56,19,1.5,41
2021-01-22,Jabalpur,111,196,27,13,0.84,20
2021-01-22,Ujjain,136,179,38,14,0.72,47
2021-01-22,Satna,175,237,41,27,1.12,40
2021-01-22,Sagar,212,282,59,21,1.7,31
2021-01-22,Dewas,203,243,50,25,1.64,28
2021-01-23,Bhopal,115,164,44,13,1.98,32
2021-01-23,Indore,83,175,50,15,0.8,45
2021-01-23,Gwalior,198,238,39,25,1.8,49
2021-01-23,Jabalpur,128,234,57,28,0.71,55
2021-01-23,Ujjain,217,299,39,22,1.52,35
2021-01-23,Satna,162,251,53,16,1.36,24
2021-01-23,Sagar,113,208,49,14,1.61,37
2021-01-23,Dewas,208,264,32,19,1.8,25
2021-01-24,Bhopal,201,257,40,11,0.52,24
2021-01-24,Indore,208,248,38,16,1.4,49
2021-01-24,Gwalior,171,250,41,24,0.75,35
2021-01-24,Jabalpur,150,196,40,19,1.31,49
2021-01-24,Ujjain,179,272,62,12,1.35,52
2021-01-24,Satna,95,187,46,14,0.7,34
2021-01-24,Sagar,100,213,38,20,1.24,46
2021-01-24,Dewas,85,182,38,28,0.7,27
2021-01-25,Bhopal,75,120,59,23,1.7,28
2021-01-25,Indore,193,256,54,16,1.56,59
2021-01-25,Gwalior,89,152,38,21,1.21,54
2021-01-25,Jabalpur,63,112,41,11,0.71,24
2021-01-25,Ujjain,158,204,26,11,1.54,37
2021-01-25,Satna,176,253,48,26,1.72,39
2021-01-25,Sagar,119,210,22,16,1.66,58
2021-01-25,Dewas,60,133,64,14,1.2,26
2021-01-26,Bhopal,136,253,65,11,0.6,27
2021-01-26,Indore,60,129,68,25,1.2,28
2021-01-26,Gwalior,184,263,46,28,1.05,26
2021-01-26,Jabalpur,121,219,50,21,0.75,32
2021-01-26,Ujjain,94,191,27,28,0.87,59
2021-01-26,Satna,169,280,37,20,0.62,50
2021-01-26,Sagar,61,122,22,15,1.71,29
2021-01-26,Dewas,141,203,35,29,1.57,41
2021-01-27,Bhopal,143,219,34,25,1.07,20
2021-01-27,Indore,101,218,20,28,1.08,20
2021-01-27,Gwalior,150,234,41,29,0.65,38
2021-01-27,Jabalpur,204,250,51,20,1.26,34
2021-01-27,Ujjain,134,206,66,26,0.55,20
2021-01-27,Satna,166,243,49,10,0.51,52
2021-01-27,Sagar,145,249,38,29,1.44,51
2021-01-27,Dewas,131,191,21,16,1.21,22
2021-01-28,Bhopal,99,155,41,25,0.7,33
2021-01-28,Indore,61,133,26,13,1.45,37
2021-01-28,Gwalior,74,125,36,12,1.75,23
2021-01-28,Jabalpur,89,193,52,22,1.73,38
2021-01-28,Ujjain,144,259,64,20,0.71,40
2021-01-28,Satna,215,329,34,17,1.22,28
2021-01-28,Sagar,64,155,64,11,0.63,26
2021-01-28,Dewas,179,293,43,19,1.05,36
2021-01-29,Bhopal,100,175,46,28,0.69,22
2021-01-29,Indore,88,146,46,25,1.51,59
2021-01-29,Gwalior,78,191,53,21,0.77,55
2021-01-29,Jabalpur,70,136,42,14,0.71,42
2021-01-29,Ujjain,80,160,67,21,1.75,27
2021-01-29,Satna,133,215,37,24,1.29,39
2021-01-29,Sagar,116,204,57,29,1.63,23
2021-01-29,Dewas,155,207,36,24,0.66,37
2021-01-30,Bhopal,124,178,21,21,1.06,49
2021-01-30,Indore,168,270,21,22,1.87,52
2021-01-30,Gwalior,71,145,45,23,0.97,44
2021-01-30,Jabalpur,100,155,23,21,0.69,20
2021-01-30,Ujjain,102,201,38,28,1.45,27
2021-01-30,Satna,197,247,35,19,1.14,24
2021-01-30,Sagar,203,306,47,29,0.78,43
2021-01-30,Dewas,152,260,56,23,1.65,58
2021-01-31,Bhopal,212,267,56,28,0.58,48
2021-01-31,Indore,187,250,26,18,1.05,30
2021-01-31,Gwalior,105,214,59,13,0.55,50
2021-01-31,Jabalpur,203,309,20,14,1.55,26
2021-01-31,Ujjain,131,182,22,11,0.85,50
2021-01-31,Satna,162,205,57,20,1.62,42
2021-01-31,Sagar,81,136,48,25,1.66,38
2021-01-31,Dewas,68,169,29,17,0.88,34
2021-02-01,Bhopal,197,251,49,23,1.39,36
2021-02-01,Indore,217,334,40,11,0.65,48
2021-02-01,Gwalior,212,289,57,21,0.88,39
2021-02-01,Jabalpur,89,196,24,10,1.03,38
2021-02-01,Ujjain,98,198,30,24,0.93,22
2021-02-01,Satna,75,145,63,27,1.17,36
2021-02-01,Sagar,60,141,33,20,0.88,25
2021-02-01,Dewas,65,110,44,24,1.66,38
2021-02-02,Bhopal,87,138,37,15,1.07,51
2021-02-02,Indore,61,157,33,19,1.15,43
2021-02-02,Gwalior,75,179,36,20,0.91,34
2021-02-02,Jabalpur,215,274,31,17,1.82,35
2021-02-02,Ujjain,87,202,49,29,1.82,51
2021-02-02,Satna,112,202,42,20,0.52,58
2021-02-02,Sagar,102,214,27,16,0.68,54
2021-02-02,Dewas,207,278,39,26,1.04,52
2021-02-03,Bhopal,184,252,62,18,1.39,27
2021-02-03,Indore,219,328,60,28,1.09,39
2021-02-03,Gwalior,199,285,36,13,1.74,42
2021-02-03,Jabalpur,130,208,62,26,0.54,30
2021-02-03,Ujjain,113,189,50,26,0.52,41
2021-02-03,Satna,66,130,24,15,1.36,21
2021-02-03,Sagar,154,247,57,18,1.09,41
2021-02-03,Dewas,71,131,63,10,1.37,41
2021-02-04,Bhopal,181,265,38,19,1.35,35
2021-02-04,Indore,158,274,49,11,1.22,27
2021-02-04,Gwalior,100,153,38,10,0.7,53
2021-02-04,Jabalpur,127,197,52,22,1.66,41
2021-02-04,Ujjain,219,338,29,16,1.33,30
2021-02-04,Satna,60,151,37,19,1.03,23
2021-02-04,Sagar,190,272,58,14,1.13,49
2021-02-04,Dewas,184,287,62,14,0.63,40
2021-02-05,Bhopal,164,227,63,24,1.69,42
2021-02-05,Indore,167,267,58,28,0.5,39
2021-02-05,Gwalior,75,125,38,10,0.65,46
2021-02-05,Jabalpur,208,321,65,22,1.46,36
2021-02-05,Ujjain,113,204,46,11,1.02,34
2021-02-05,Satna,87,168,22,22,1.34,47
2021-02-05,Sagar,111,162,50,17,1.01,23
2021-02-05,Dewas,134,212,65,26,1.6,46
2021-02-06,Bhopal,172,289,48,22,0.97,56
2021-02-06,Indore,72,179,29,19,0.89,38
2021-02-06,Gwalior,144,262,34,23,1.04,59
2021-02-06,Jabalpur,190,244,24,14,0.77,57
2021-02-06,Ujjain,138,246,21,17,0.56,49
2021-02-06,Satna,168,235,26,25,1.07,53
2021-02-06,Sagar,171,216,67,12,0.56,31
2021-02-06,Dewas,79,165,20,17,1.69,22
2021-02-07,Bhopal,157,220,46,13,0.65,33
2021-02-07,Indore,71,147,51,18,1.27,41
2021-02-07,Gwalior,158,232,34,11,1.19,41
2021-02-07,Jabalpur,110,220,68,12,0.78,35
2021-02-07,Ujjain,116,164,20,12,0.64,29
2021-02-07,Satna,90,142,58,14,1.15,53
2021-02-07,Sagar,183,257,68,13,1.17,48
2021-02-07,Dewas,62,147,44,11,1.18,36
2021-02-08,Bhopal,61,172,52,14,1.8,37
2021-02-08,Indore,170,282,29,26,1.46,24
2021-02-08,Gwalior,193,298,41,25,1.04,40
2021-02-08,Jabalpur,202,256,56,22,1.82,32
2021-02-08,Ujjain,214,257,37,22,0.85,32
2021-02-08,Satna,120,175,49,29,1.73,33
2021-02-08,Sagar,71,158,65,24,0.59,58
2021-02-08,Dewas,135,213,30,26,0.73,44
2021-02-09,Bhopal,118,185,33,14,1.05,48
2021-02-09,Indore,75,152,43,11,1.89,56
2021-02-09,Gwalior,129,219,37,14,0.85,34
2021-02-09,Jabalpur,145,224,69,25,1.95,46
2021-02-09,Ujjain,130,171,69,28,0.75,56
2021-02-09,Satna,217,331,30,16,1.65,33
2021-02-09,Sagar,185,293,21,25,0.81,55
2021-02-09,Dewas,70,167,60,19,0.73,46
2021-02-10,Bhopal,74,126,30,18,1.24,51
2021-02-10,Indore,85,175,38,23,1.95,25
2021-02-10,Gwalior,102,164,30,12,1.78,41
2021-02-10,Jabalpur,63,150,24,25,1.64,38
2021-02-10,Ujjain,149,222,67,23,0.57,39
2021-02-10,Satna,99,195,52,10,0.73,23
2021-02-10,Sagar,94,167,50,12,0.85,23
2021-02-10,Dewas,98,208,49,20,1.17,53
2021-02-11,Bhopal,161,202,51,21,0.76,40
2021-02-11,Indore,106,185,31,20,0.99,25
2021-02-11,Gwalior,206,314,60,22,1.67,26
2021-02-11,Jabalpur,70,143,23,15,0.93,55
2021-02-11,Ujjain,105,187,34,22,0.72,46
2021-02-11,Satna,166,264,38,20,1.77,34
2021-02-11,Sagar,147,235,32,16,1.54,57
2021-02-11,Dewas,170,216,31,12,1.33,24
2021-02-12,Bhopal,129,192,63,20,1.15,23
2021-02-12,Indore,207,317,33,20,1.49,38
2021-02-12,Gwalior,153,271,29,12,1.5,26
2021-02-12,Jabalpur,128,171,27,29,0.74,26
2021-02-12,Ujjain,116,165,55,13,1.98,28
2021-02-12,Satna,170,233,48,17,1.23,26
2021-02-12,Sagar,214,330,21,24,0.87,30
2021-02-12,Dewas,91,199,35,15,0.79,29
2021-02-13,Bhopal,130,224,64,18,1.85,23
2021-02-13,Indore,110,171,57,21,1.49,39
2021-02-13,Gwalior,209,264,48,23,1.89,50
2021-02-13,Jabalpur,145,240,63,16,0.65,20
2021-02-13,Ujjain,154,216,52,15,1.08,41
2021-02-13,Satna,153,271,41,15,0.69,44
2021-02-13,Sagar,151,226,51,17,1.02,46
2021-02-13,Dewas,112,210,46,16,1.86,25
2021-02-14,Bhopal,186,252,58,13,0.7,38
2021-02-14,Indore,218,298,32,27,0.85,31
2021-02-14,Gwalior,120,207,37,20,0.53,37
2021-02-14,Jabalpur,196,308,21,24,1.31,57
2021-02-14,Ujjain,165,263,69,28,0.56,54
2021-02-14,Satna,101,155,57,28,1.34,35
2021-02-14,Sagar,90,139,20,14,0.52,38
2021-02-14,Dewas,184,236,39,12,0.95,38
2021-02-15,Bhopal,133,175,24,17,0.75,40
2021-02-15,Indore,130,173,32,17,1.75,44
2021-02-15,Gwalior,96,207,31,23,0.58,23
2021-02-15,Jabalpur,137,201,55,15,1.36,54
2021-02-15,Ujjain,217,329,48,16,1.68,40
2021-02-15,Satna,78,148,58,19,0.87,56
2021-02-15,Sagar,190,304,63,21,0.94,46
2021-02-15,Dewas,66,116,52,22,1.59,22
2021-02-16,Bhopal,66,130,39,22,1.16,55
2021-02-16,Indore,100,195,55,22,0.57,35
2021-02-16,Gwalior,200,269,63,12,1.93,29
2021-02-16,Jabalpur,106,178,29,13,1.53,54
2021-02-16,Ujjain,69,149,48,24,0.51,49
2021-02-16,Satna,119,203,42,19,1.79,53
2021-02-16,Sagar,78,136,49,18,1.61,52
2021-02-16,Dewas,90,154,28,20,1.21,46
2021-02-17,Bhopal,131,234,38,23,0.71,45
2021-02-17,Indore,110,211,24,11,1.98,33
2021-02-17,Gwalior,117,188,58,12,1.48,30
2021-02-17,Jabalpur,183,289,41,18,0.59,59
2021-02-17,Ujjain,217,284,37,16,1.86,27
2021-02-17,Satna,177,247,24,25,1.76,33
2021-02-17,Sagar,138,253,21,25,1.02,22
2021-02-17,Dewas,83,132,65,28,0.87,50
2021-02-18,Bhopal,145,240,39,28,1.69,51
2021-02-18,Indore,191,305,30,27,1.23,27
2021-02-18,Gwalior,108,169,56,13,0.64,52
2021-02-18,Jabalpur,101,193,56,26,0.65,21
2021-02-18,Ujjain,69,162,67,16,1.55,31
2021-02-18,Satna,72,170,34,28,1.47,30
2021-02-18,Sagar,62,133,39,12,1.12,31
2021-02-18,Dewas,170,288,42,23,1.21,43
2021-02-19,Bhopal,167,265,55,11,1.61,57
2021-02-19,Indore,156,226,42,14,1.5,21
2021-02-19,Gwalior,193,272,40,17,1.0,20
2021-02-19,Jabalpur,78,167,35,18,1.47,54
2021-02-19,Ujjain,116,203,34,18,0.67,52
2021-02-19,Satna,74,163,44,21,0.65,22
2021-02-19,Sagar,101,207,53,18,0.87,45
2021-02-19,Dewas,146,214,37,23,0.64,27
2021-02-20,Bhopal,177,256,29,25,1.93,40
2021-02-20,Indore,209,313,35,18,1.49,24
2021-02-20,Gwalior,72,176,63,25,0.87,24
2021-02-20,Jabalpur,150,258,57,17,1.7,48
2021-02-20,Ujjain,101,212,57,13,0.8,51
2021-02-20,Satna,76,170,22,14,1.31,21
2021-02-20,Sagar,151,247,48,25,1.98,58
2021-02-20,Dewas,142,253,41,26,1.1,49
2021-02-21,Bhopal,174,282,58,13,1.07,20
2021-02-21,Indore,84,196,55,28,1.91,28
2021-02-21,Gwalior,207,280,23,12,1.16,29
2021-02-21,Jabalpur,98,192,24,13,1.8,45
2021-02-21,Ujjain,178,221,54,20,1.56,30
2021-02-21,Satna,219,289,22,28,1.74,34
2021-02-21,Sagar,99,181,28,28,1.38,41
2021-02-21,Dewas,106,166,24,28,0.57,30
2021-02-22,Bhopal,160,254,23,14,1.97,52
2021-02-22,Indore,193,312,66,10,0.85,20
2021-02-22,Gwalior,131,200,52,25,1.39,41
2021-02-22,Jabalpur,61,125,24,19,0.9,28
2021-02-22,Ujjain,194,252,47,10,0.84,37
2021-02-22,Satna,180,277,40,12,1.43,36
2021-02-22,Sagar,111,227,68,23,0.58,31
2021-02-22,Dewas,67,171,54,24,1.33,55
2021-02-23,Bhopal,92,205,33,12,1.25,29
2021-02-23,Indore,86,127,61,12,0.64,56
2021-02-23,Gwalior,201,250,66,18,1.37,53
2021-02-23,Jabalpur,129,228,60,22,1.12,24
2021-02-23,Ujjain,85,127,24,27,0.7,55
2021-02-23,Satna,189,244,54,21,1.8,55
2021-02-23,Sagar,189,240,37,11,1.34,53
2021-02-23,Dewas,118,169,43,24,1.18,58
2021-02-24,Bhopal,82,138,22,28,1.66,48
2021-02-24,Indore,160,212,41,12,1.1,57
2021-02-24,Gwalior,181,274,68,14,1.89,58
2021-02-24,Jabalpur,165,210,31,23,1.65,50
2021-02-24,Ujjain,107,219,23,25,1.09,53
2021-02-24,Satna,169,234,32,24,0.64,56
2021-02-24,Sagar,214,287,60,23,1.9,28
2021-02-24,Dewas,101,213,51,25,1.11,26
2021-02-25,Bhopal,109,179,29,10,0.75,50
2021-02-25,Indore,104,214,22,26,1.45,50
2021-02-25,Gwalior,110,178,67,11,1.26,25
2021-02-25,Jabalpur,128,213,27,11,0.75,23
2021-02-25,Ujjain,201,295,48,18,1.01,54
2021-02-25,Satna,87,204,63,19,0.8,30
2021-02-25,Sagar,99,215,54,25,0.61,39
2021-02-25,Dewas,87,132,49,22,1.24,24
2021-02-26,Bhopal,136,254,48,13,0.77,44
2021-02-26,Indore,155,229,67,16,1.99,50
2021-02-26,Gwalior,191,239,48,29,1.79,21
2021-02-26,Jabalpur,63,178,34,23,1.9,41
2021-02-26,Ujjain,134,186,47,20,1.65,58
2021-02-26,Satna,166,239,48,10,1.27,57
2021-02-26,Sagar,210,283,52,14,1.06,31
2021-02-26,Dewas,139,202,23,22,1.69,58
2021-02-27,Bhopal,219,275,47,13,0.54,33
2021-02-27,Indore,168,240,47,23,1.13,21
2021-02-27,Gwalior,208,277,62,10,1.12,22
2021-02-27,Jabalpur,109,187,54,17,1.74,37
2021-02-27,Ujjain,74,136,38,10,1.19,59
2021-02-27,Satna,129,221,32,17,1.58,48
2021-02-27,Sagar,195,297,25,11,1.16,49
2021-02-27,Dewas,114,214,26,10,1.74,27
2021-02-28,Bhopal,138,236,43,13,0.62,20
2021-02-28,Indore,163,255,45,21,0.97,49
2021-02-28,Gwalior,186,284,22,11,1.46,39
2021-02-28,Jabalpur,217,315,43,26,1.79,47
2021-02-28,Ujjain,126,167,62,20,1.87,46
2021-02-28,Satna,171,277,69,13,0.79,58
2021-02-28,Sagar,113,158,21,24,1.25,38
2021-02-28,Dewas,215,301,57,16,1.34,25
2021-03-01,Bhopal,151,266,48,21,0.92,31
2021-03-01,Indore,124,204,38,17,1.62,27
2021-03-01,Gwalior,155,261,20,23,0.63,35
2021-03-01,Jabalpur,139,223,46,21,1.83,50
2021-03-01,Ujjain,73,157,52,11,1.24,39
2021-03-01,Satna,134,218,44,14,1.62,53
2021-03-01,Sagar,175,228,49,25,1.64,23
2021-03-01,Dewas,180,228,21,26,0.81,55
2021-03-02,Bhopal,97,190,66,12,1.27,41
2021-03-02,Indore,87,206,24,29,2.0,27
2021-03-02,Gwalior,144,186,53,22,0.74,28
2021-03-02,Jabalpur,201,243,41,17,0.79,48
2021-03-02,Ujjain,129,188,59,11,1.55,32
2021-03-02,Satna,204,291,52,24,1.7,58
2021-03-02,Sagar,158,207,60,26,1.58,39
2021-03-02,Dewas,62,150,52,26,1.04,28
2021-03-03,Bhopal,155,218,39,24,1.18,58
2021-03-03,Indore,193,285,33,23,1.65,56
2021-03-03,Gwalior,120,208,42,12,1.65,57
2021-03-03,Jabalpur,127,201,29,15,0.54,51
2021-03-03,Ujjain,153,199,54,29,1.91,49
2021-03-03,Satna,201,288,43,23,0.56,34
2021-03-03,Sagar,135,203,41,16,1.5,33
2021-03-03,Dewas,137,246,46,16,0.51,30
2021-03-04,Bhopal,195,298,38,27,0.83,55
2021-03-04,Indore,168,211,55,20,0.91,56
2021-03-04,Gwalior,91,207,42,13,1.34,38
2021-03-04,Jabalpur,181,292,35,22,1.3,50
2021-03-04,Ujjain,78,197,30,14,0.73,21
2021-03-04,Satna,113,223,61,23,0.91,39
2021-03-04,Sagar,93,193,66,29,1.84,42
2021-03-04,Dewas,167,276,36,11,1.39,51
2021-03-05,Bhopal,143,183,32,10,1.72,53
2021-03-05,Indore,141,223,27,28,1.0,29
2021-03-05,Gwalior,71,183,41,27,1.16,27
2021-03-05,Jabalpur,117,170,36,13,1.45,51
2021-03-05,Ujjain,98,157,32,12,0.83,40
2021-03-05,Satna,86,137,57,18,1.08,52
2021-03-05,Sagar,152,245,43,13,1.93,27
2021-03-05,Dewas,177,288,34,21,1.4,20
2021-03-06,Bhopal,96,190,60,14,1.32,39
2021-03-06,Indore,167,280,58,11,1.91,47
2021-03-06,Gwalior,185,246,46,27,0.51,54
2021-03-06,Jabalpur,203,252,24,14,1.53,43
2021-03-06,Ujjain,125,186,28,14,1.33,38
2021-03-06,Satna,161,249,63,12,1.41,41
2021-03-06,Sagar,186,236,49,21,1.0,37
2021-03-06,Dewas,75,164,40,15,1.31,45
2021-03-07,Bhopal,109,199,26,18,0.88,47
2021-03-07,Indore,69,130,47,13,1.83,59
2021-03-07,Gwalior,160,278,26,17,0.53,49
2021-03-07,Jabalpur,96,207,40,17,0.96,31
2021-03-07,Ujjain,212,253,33,22,1.99,41
2021-03-07,Satna,103,147,40,15,1.28,53
2021-03-07,Sagar,128,192,24,10,1.65,35
2021-03-07,Dewas,85,196,45,23,1.16,46
